%OpenBCI Raw EEG Data
%Number of channels = 4
%Sample Rate = 200 Hz
%Board = OpenBCI_GUI$BoardGanglionBLE
Sample Index, EXG Channel 0, EXG Channel 1, EXG Channel 2, EXG Channel 3, Accel Channel 0, Accel Channel 1, Accel Channel 2, Other, Other, Other, Other, Other, Timestamp, Other, Timestamp (Formatted)
42.0, -60.30962668545544, 71.09923805762082, -9.918214682489634, 27.381677525583655, -0.7520000357180834, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.64669152482011E9, 0.0, 2022-03-07 14:18:44.820
43.0, -9.372189288958907, 18.841615976765752, 22.364601735025644, -4.20925740012899, -0.7520000357180834, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524833675E9, 0.0, 2022-03-07 14:18:44.833
43.0, -44.497329672798514, 48.525201925076544, 17.36061559431255, 9.654551735613495, -0.7520000357180834, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524833675E9, 0.0, 2022-03-07 14:18:44.833
44.0, -70.53451316431165, 79.8917428534478, -13.24672564305365, 27.5125740240328, -0.7520000357180834, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915248493793E9, 0.0, 2022-03-07 14:18:44.849
44.0, -25.637014196254313, 33.06819540821016, 5.385455936193466, 7.687364358920604, -0.7520000357180834, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915248493793E9, 0.0, 2022-03-07 14:18:44.849
45.0, -26.422393186949193, 26.074582491070032, 20.05708346236497, 1.5015698322094977, -0.7520000357180834, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915248501654E9, 0.0, 2022-03-07 14:18:44.850
45.0, -72.79341273754835, 80.91647544130683, -12.756798748858273, 29.457322000991553, -0.7520000357180834, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915248501654E9, 0.0, 2022-03-07 14:18:44.850
46.0, -46.539315048605204, 55.94142353720963, -5.770665631629527, 17.93095033755526, -0.7520000357180834, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915248637166E9, 0.0, 2022-03-07 14:18:44.863
46.0, -11.567510562948883, 15.333589818328619, 29.03284335602075, -2.417845321353525, -0.7520000357180834, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915248637166E9, 0.0, 2022-03-07 14:18:44.863
47.0, -65.57540582306683, 62.620884858071804, -2.8834628658369184, 25.246194650884718, -0.7520000357180834, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915248793757E9, 0.0, 2022-03-07 14:18:44.879
47.0, -62.6582838576287, 66.61135811079293, -6.769218919798732, 30.78872638521716, -0.7520000357180834, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915248793757E9, 0.0, 2022-03-07 14:18:44.879
48.0, -18.213312784209847, 13.183147343806922, 25.835228893905878, 5.465863785240799, -0.7520000357180834, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915248801763E9, 0.0, 2022-03-07 14:18:44.880
48.0, -51.95843008439988, 45.308887963183224, 18.392827982082963, 17.07825314765796, -0.7520000357180834, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915248801763E9, 0.0, 2022-03-07 14:18:44.880
49.0, -69.4798613768071, 74.79051931388676, -10.733512872830033, 35.64685642765835, -0.7520000357180834, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915248937595E9, 0.0, 2022-03-07 14:18:44.893
49.0, -24.470165410079062, 27.80241627059877, 14.129342032596469, 11.748895710799843, -0.7520000357180834, 0.5280000250786543, 0.3840000182390213, 0.0, 0.0, 0.0, 0.0, 0.0, 1.6466915248937595E9, 0.0, 2022-03-07 14:18:44.893
50.0, -23.883001117035747, 21.949472839944065, 28.13526736665517, 6.071727578062564, -0.7520000357180834, 0.5280000250786543, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524909417E9, 0.0, 2022-03-07 14:18:44.909
50.0, -71.95567514747381, 75.45996140595526, -8.493312799371779, 33.46275485353544, -0.7520000357180834, 0.5280000250786543, 0.49600002355873585, 0.0, 0.0, 0.0, 0.0, 0.0, 1.646691524909417E9, 0.0, 2022-03-07 14:18:44.909
